Instance,N,Run,Algorithm,PointID,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count
r101.txt,100,0,HPP-init-NSGA2,64,150.089655,1840.0,3393.964567,87,7,6,9,1,4
r101.txt,100,0,HPP-init-NSGA2,65,150.089655,1840.0,3393.964567,87,7,6,8,1,4
r101.txt,100,0,HPP-init-NSGA2,66,171.066569,1470.0,110.0,81,10,9,9,3,4
r101.txt,100,0,HPP-init-NSGA2,67,223.287884,1310.0,31.478151,88,1,11,13,1,4
r101.txt,100,0,HPP-init-NSGA2,68,208.653774,1320.0,30.0,89,1,10,12,1,4
r101.txt,100,0,HPP-init-NSGA2,69,182.712826,1470.0,40.0,82,8,10,10,2,4
r101.txt,100,0,HPP-init-NSGA2,70,220.136819,1310.0,41.478151,89,0,11,13,0,4
r101.txt,100,0,HPP-init-NSGA2,71,234.986134,1310.0,11.478151,89,0,11,14,0,4
r101.txt,100,0,HPP-init-NSGA2,72,181.463419,1590.0,80.0,83,11,6,10,3,2
r101.txt,100,0,HPP-init-NSGA2,73,185.620229,1444.560168,40.0,80,9,11,10,3,4
r101.txt,100,0,HPP-init-NSGA2,74,185.919071,1590.0,0.0,81,7,12,10,2,5
r101.txt,100,0,HPP-init-NSGA2,75,149.60409,1810.0,4381.478151,89,4,7,8,1,4
r101.txt,100,0,HPP-init-NSGA2,76,150.39861,1810.0,4351.478151,88,4,8,9,1,5
r101.txt,100,0,HPP-init-NSGA2,77,150.617788,1810.0,3821.478151,87,4,9,10,1,6
r101.txt,100,0,HPP-init-NSGA2,78,150.39861,1810.0,4351.478151,88,4,8,8,1,4
r101.txt,100,0,HPP-init-NSGA2,79,152.617788,1760.0,4551.478151,88,4,8,8,1,5
r101.txt,100,0,HPP-init-NSGA2,80,150.243439,2010.0,2293.718997,88,7,5,8,2,2
r101.txt,100,0,HPP-init-NSGA2,81,190.836598,1440.0,1660.0,87,4,9,11,1,3
r101.txt,100,0,HPP-init-NSGA2,82,205.33454,1340.0,20.0,86,5,9,12,1,3
r101.txt,100,0,HPP-init-NSGA2,83,204.509701,1340.0,30.0,86,4,10,12,1,3
r101.txt,100,0,HPP-init-NSGA2,84,204.61742,1330.0,180.0,87,4,9,12,1,3
r101.txt,100,0,HPP-init-NSGA2,85,204.768105,1330.0,30.0,86,4,10,12,1,3
r101.txt,100,0,HPP-init-NSGA2,86,152.272641,1780.0,3940.0,90,4,6,8,1,5
r101.txt,100,0,HPP-init-NSGA2,87,146.795443,1890.0,2659.497475,91,5,4,8,1,3
r101.txt,100,0,HPP-init-NSGA2,88,179.409561,1720.0,30.0,85,8,7,11,2,3
r101.txt,100,0,HPP-init-NSGA2,89,224.802197,1290.0,70.0,79,11,10,12,5,5
r101.txt,100,0,HPP-init-NSGA2,90,161.917604,1590.0,3270.51175,84,4,12,10,2,8
r101.txt,100,0,HPP-init-NSGA2,91,156.31324,1660.0,3290.0,86,6,8,8,2,5
r101.txt,100,0,HPP-init-NSGA2,92,157.019066,1650.0,2692.227479,85,5,10,9,2,6
r101.txt,100,0,HPP-init-NSGA2,93,263.692495,1260.0,682.103489,86,6,8,15,2,6
r101.txt,100,0,HPP-init-NSGA2,94,167.615527,1610.0,2074.532956,88,5,7,9,1,5
